Name,Subtitle,Acceleration,TopSpeed (/H),Range (KM),Range (Miles),Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,PriceinUS
Hyundai IONIQ Electric,Battery Electric Vehicle |       38.3 kWh,9.7 sec,165 /h,250,155,153 Wh/,220 /h,Front Wheel Drive,5,"35,350","30,550",62609.75
Lightyear One ,Battery Electric Vehicle |       60 kWh ,10.0 sec,150 /h,575,356.5,104 Wh/,540 /h,All Wheel Drive,5,"149,000",N/A,141554.75
Tesla Roadster ,Battery Electric Vehicle |       200 kWh ,2.1 sec,410 /h,970,601.4,206 Wh/,920 /h,All Wheel Drive,4,"215,000","189,000",383803.8
Peugeot e-208 ,Battery Electric Vehicle |       45 kWh ,8.1 sec,150 /h,275,170.5,164 Wh/,370 /h,Front Wheel Drive,5,"30,450","27,225",54796
Honda e ,Battery Electric Vehicle |       28.5 kWh ,9.0 sec,145 /h,170,105.4,168 Wh/,190 /h,Rear Wheel Drive,4,"33,850","27,660",58438.3
CUPRA Born 110 kW - 55 kWh,Battery Electric Vehicle |       45 kWh,8.9 sec,160 /h,275,170.5,164 Wh/,440 /h,Rear Wheel Drive,5,"32,700","28,500",58144.75
Audi Q4 e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0 sec,160 /h,280,173.6,184 Wh/,390 /h,Rear Wheel Drive,5,"41,900","40,750",78522.25
Tesla Model Y Long Range Dual Motor,Battery Electric Vehicle |       76 kWh ,5.1 sec,217 /h,450,279,169 Wh/,750 /h,All Wheel Drive,7,"59,965","54,000",108273.4
Tesla Model Y Performance,Battery Electric Vehicle |       76 kWh ,3.7 sec,241 /h,430,266.6,177 Wh/,720 /h,All Wheel Drive,7,"66,965","60,000",120623.4
Porsche Taycan 4 Cross Turismo,Battery Electric Vehicle |       83.7 kWh,5.1 sec,220 /h,405,251.1,207 Wh/,850 /h,All Wheel Drive,4,"93,635","79,340",164330.05
Skoda Enyaq iV 50,Battery Electric Vehicle |       52 kWh,11.3 sec,160 /h,295,182.9,176 Wh/,240 /h,Rear Wheel Drive,5,"33,800",N/A,32114.75
Volkswagen e-Up! ,Battery Electric Vehicle |       32.3 kWh,11.9 sec,130 /h,205,127.1,158 Wh/,170 /h,Front Wheel Drive,4,N/A,N/A,3.8
SEAT Mii Electric ,Battery Electric Vehicle |       32.3 kWh,12.3 sec,130 /h,205,127.1,158 Wh/,170 /h,Front Wheel Drive,4,"24,650",N/A,23421.3
Opel Corsa-e ,Battery Electric Vehicle |       45 kWh ,8.1 sec,150 /h,275,170.5,164 Wh/,370 /h,Front Wheel Drive,5,"29,000","27,140",53337.75
MG ZS EV,Battery Electric Vehicle |       42.5 kWh ,8.2 sec,140 /h,220,136.4,193 Wh/,260 /h,Front Wheel Drive,5,"31,990","25,995",55090.5
Volkswagen ID.3 Pro,Battery Electric Vehicle |       58 kWh,9.6 sec,160 /h,350,217,166 Wh/,440 /h,Rear Wheel Drive,5,"34,995","28,420",60249
Volkswagen ID.3 Pro S,Battery Electric Vehicle |       77 kWh,7.9 sec,160 /h,450,279,171 Wh/,550 /h,Rear Wheel Drive,4,"41,995","38,800",76759.05
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 /h,395,244.9,162 Wh/,370 /h,Front Wheel Drive,5,"41,850",N/A,39762.25
Renault Zoe ZE50 R135,Battery Electric Vehicle |       52 kWh,9.5 sec,140 /h,310,192.2,168 Wh/,230 /h,Front Wheel Drive,5,"33,990","28,795",59650.5
Peugeot e-2008 SUV ,Battery Electric Vehicle |       45 kWh ,8.5 sec,150 /h,250,155,180 Wh/,330 /h,Front Wheel Drive,5,"35,450","30,730",62875.75
Audi e-tron 50 quattro,Battery Electric Vehicle |       64.7 kWh,6.8 sec,190 /h,280,173.6,231 Wh/,470 /h,All Wheel Drive,5,"69,100","60,600",123219.75
Porsche Taycan Turbo,Battery Electric Vehicle |       83.7 kWh,3.2 sec,260 /h,400,248,209 Wh/,840 /h,All Wheel Drive,4,"153,016","115,860",255436
Smart EQ fortwo coupe,Battery Electric Vehicle |       16.7 kWh ,11.6 sec,130 /h,100,62,167 Wh/,-,Rear Wheel Drive,2,"18,460","19,200",35778.9
Smart EQ fortwo cabrio,Battery Electric Vehicle |       16.7 kWh ,11.9 sec,130 /h,95,58.9,176 Wh/,-,Rear Wheel Drive,2,"21,720","21,620",41174.9
Smart EQ forfour ,Battery Electric Vehicle |       16.7 kWh ,12.7 sec,130 /h,95,58.9,176 Wh/,-,Rear Wheel Drive,4,"19,120","19,795",36973.05
Honda e Advance,Battery Electric Vehicle |       28.5 kWh ,8.3 sec,145 /h,170,105.4,168 Wh/,190 /h,Rear Wheel Drive,4,"38,000","30,160",64755.8
Byton M-Byte 72 kWh 2WD,Battery Electric Vehicle |       72 kWh ,7.5 sec,190 /h,325,201.5,222 Wh/,420 /h,Rear Wheel Drive,5,"53,500","50,000",98329.75
